Author Name|Coauthor Name|Year|Title|Type
Gordon S. Blair|Fabio Kon|2011|Perspectives on cloud computing: interviews with five leading scientists from the cloud community.|article
Gordon S. Blair|Walfredo Cirne|2011|Perspectives on cloud computing: interviews with five leading scientists from the cloud community.|article
Gordon S. Blair|Dejan S. Milojicic|2011|Perspectives on cloud computing: interviews with five leading scientists from the cloud community.|article
Gordon S. Blair|Raghu Ramakrishnan|2011|Perspectives on cloud computing: interviews with five leading scientists from the cloud community.|article
Gordon S. Blair|Dan Reed|2011|Perspectives on cloud computing: interviews with five leading scientists from the cloud community.|article
Gordon S. Blair|Dilma M. Silva|2011|Perspectives on cloud computing: interviews with five leading scientists from the cloud community.|article
Fabio Kon|Gordon S. Blair|2011|Perspectives on cloud computing: interviews with five leading scientists from the cloud community.|article
Fabio Kon|Walfredo Cirne|2011|Perspectives on cloud computing: interviews with five leading scientists from the cloud community.|article
Fabio Kon|Dejan S. Milojicic|2011|Perspectives on cloud computing: interviews with five leading scientists from the cloud community.|article
Fabio Kon|Raghu Ramakrishnan|2011|Perspectives on cloud computing: interviews with five leading scientists from the cloud community.|article
Fabio Kon|Dan Reed|2011|Perspectives on cloud computing: interviews with five leading scientists from the cloud community.|article
Fabio Kon|Dilma M. Silva|2011|Perspectives on cloud computing: interviews with five leading scientists from the cloud community.|article
Walfredo Cirne|Gordon S. Blair|2011|Perspectives on cloud computing: interviews with five leading scientists from the cloud community.|article
Walfredo Cirne|Fabio Kon|2011|Perspectives on cloud computing: interviews with five leading scientists from the cloud community.|article
Walfredo Cirne|Dejan S. Milojicic|2011|Perspectives on cloud computing: interviews with five leading scientists from the cloud community.|article
Walfredo Cirne|Raghu Ramakrishnan|2011|Perspectives on cloud computing: interviews with five leading scientists from the cloud community.|article
Walfredo Cirne|Dan Reed|2011|Perspectives on cloud computing: interviews with five leading scientists from the cloud community.|article
Walfredo Cirne|Dilma M. Silva|2011|Perspectives on cloud computing: interviews with five leading scientists from the cloud community.|article
Dejan S. Milojicic|Gordon S. Blair|2011|Perspectives on cloud computing: interviews with five leading scientists from the cloud community.|article
Dejan S. Milojicic|Fabio Kon|2011|Perspectives on cloud computing: interviews with five leading scientists from the cloud community.|article
Dejan S. Milojicic|Walfredo Cirne|2011|Perspectives on cloud computing: interviews with five leading scientists from the cloud community.|article
