Author Name|Coauthor Name|Year|Title|Type
José Antonio de Frutos|Jose M. Giron-Sierra|2002|Design of a distributed system architecture including an automatic code generator.|article
Jose M. Giron-Sierra|José Antonio de Frutos|2002|Design of a distributed system architecture including an automatic code generator.|article
Fathi Tenzekhti|Khaled Day|2002|On fault-tolerant data replication in distributed systems.|article
Fathi Tenzekhti|Mohamed Ould-Khaoua|2002|On fault-tolerant data replication in distributed systems.|article
Khaled Day|Fathi Tenzekhti|2002|On fault-tolerant data replication in distributed systems.|article
Khaled Day|Mohamed Ould-Khaoua|2002|On fault-tolerant data replication in distributed systems.|article
Mohamed Ould-Khaoua|Fathi Tenzekhti|2002|On fault-tolerant data replication in distributed systems.|article
Mohamed Ould-Khaoua|Khaled Day|2002|On fault-tolerant data replication in distributed systems.|article
Ludovic Apvrille|Pierre de Saqui-Sannes|2006|TURTLE-P: a UML profile for the formal validation of critical and distributed systems.|article
Ludovic Apvrille|Ferhat Khendek|2006|TURTLE-P: a UML profile for the formal validation of critical and distributed systems.|article
Pierre de Saqui-Sannes|Ludovic Apvrille|2006|TURTLE-P: a UML profile for the formal validation of critical and distributed systems.|article
Pierre de Saqui-Sannes|Ferhat Khendek|2006|TURTLE-P: a UML profile for the formal validation of critical and distributed systems.|article
Ferhat Khendek|Ludovic Apvrille|2006|TURTLE-P: a UML profile for the formal validation of critical and distributed systems.|article
Ferhat Khendek|Pierre de Saqui-Sannes|2006|TURTLE-P: a UML profile for the formal validation of critical and distributed systems.|article
Ewa Deelman|Gurmeet Singh|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Ewa Deelman|Mei-Hui Su|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Ewa Deelman|James Blythe|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Ewa Deelman|Yolanda Gil|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Ewa Deelman|Carl Kesselman|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Ewa Deelman|Gaurang Mehta|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Ewa Deelman|Karan Vahi|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Ewa Deelman|G. Bruce Berriman|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Ewa Deelman|John Good|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Ewa Deelman|Anastasia C. Laity|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Ewa Deelman|Joseph C. Jacob|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Ewa Deelman|Daniel S. Katz|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Gurmeet Singh|Ewa Deelman|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Gurmeet Singh|Mei-Hui Su|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Gurmeet Singh|James Blythe|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Gurmeet Singh|Yolanda Gil|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Gurmeet Singh|Carl Kesselman|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Gurmeet Singh|Gaurang Mehta|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Gurmeet Singh|Karan Vahi|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Gurmeet Singh|G. Bruce Berriman|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Gurmeet Singh|John Good|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Gurmeet Singh|Anastasia C. Laity|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Gurmeet Singh|Joseph C. Jacob|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Gurmeet Singh|Daniel S. Katz|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Mei-Hui Su|Ewa Deelman|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Mei-Hui Su|Gurmeet Singh|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Mei-Hui Su|James Blythe|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Mei-Hui Su|Yolanda Gil|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Mei-Hui Su|Carl Kesselman|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Mei-Hui Su|Gaurang Mehta|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Mei-Hui Su|Karan Vahi|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Mei-Hui Su|G. Bruce Berriman|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Mei-Hui Su|John Good|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Mei-Hui Su|Anastasia C. Laity|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Mei-Hui Su|Joseph C. Jacob|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Mei-Hui Su|Daniel S. Katz|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
James Blythe|Ewa Deelman|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
James Blythe|Gurmeet Singh|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
James Blythe|Mei-Hui Su|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
James Blythe|Yolanda Gil|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
James Blythe|Carl Kesselman|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
James Blythe|Gaurang Mehta|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
James Blythe|Karan Vahi|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
James Blythe|G. Bruce Berriman|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
James Blythe|John Good|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
James Blythe|Anastasia C. Laity|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
James Blythe|Joseph C. Jacob|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
James Blythe|Daniel S. Katz|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Yolanda Gil|Ewa Deelman|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Yolanda Gil|Gurmeet Singh|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Yolanda Gil|Mei-Hui Su|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Yolanda Gil|James Blythe|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Yolanda Gil|Carl Kesselman|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Yolanda Gil|Gaurang Mehta|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Yolanda Gil|Karan Vahi|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Yolanda Gil|G. Bruce Berriman|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Yolanda Gil|John Good|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Yolanda Gil|Anastasia C. Laity|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Yolanda Gil|Joseph C. Jacob|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Yolanda Gil|Daniel S. Katz|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Carl Kesselman|Ewa Deelman|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Carl Kesselman|Gurmeet Singh|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Carl Kesselman|Mei-Hui Su|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Carl Kesselman|James Blythe|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Carl Kesselman|Yolanda Gil|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Carl Kesselman|Gaurang Mehta|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Carl Kesselman|Karan Vahi|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Carl Kesselman|G. Bruce Berriman|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Carl Kesselman|John Good|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Carl Kesselman|Anastasia C. Laity|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Carl Kesselman|Joseph C. Jacob|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Carl Kesselman|Daniel S. Katz|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Gaurang Mehta|Ewa Deelman|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Gaurang Mehta|Gurmeet Singh|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Gaurang Mehta|Mei-Hui Su|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Gaurang Mehta|James Blythe|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Gaurang Mehta|Yolanda Gil|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Gaurang Mehta|Carl Kesselman|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Gaurang Mehta|Karan Vahi|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Gaurang Mehta|G. Bruce Berriman|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Gaurang Mehta|John Good|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Gaurang Mehta|Anastasia C. Laity|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Gaurang Mehta|Joseph C. Jacob|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
Gaurang Mehta|Daniel S. Katz|2005|Pegasus: A framework for mapping complex scientific workflows onto distributed systems.|article
